City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
238,Adeje,28.1227,-16.726,81.48,71,40,20.71,ES,scattered clouds,2022-10-04 22:55:04
239,Gornopravdinsk,60.05,69.9,43.88,94,100,4.27,RU,light rain,2022-10-04 22:55:04
240,Hirara,24.8,125.2833,78.66,94,20,5.75,JP,few clouds,2022-10-04 22:55:05
241,Hungund,16.0667,76.05,74.34,75,100,6.46,IN,overcast clouds,2022-10-04 22:55:05
242,Fortuna,40.5982,-124.1573,67.93,71,75,1.99,US,broken clouds,2022-10-04 22:55:06
243,Cidreira,-30.1811,-50.2056,59.23,84,0,6.78,BR,clear sky,2022-10-04 22:55:07
244,Upernavik,72.7868,-56.1549,20.82,81,63,6.02,GL,broken clouds,2022-10-04 22:55:07
245,Mnogovershinnyy,53.9353,139.9242,28.0,74,71,12.21,RU,broken clouds,2022-10-04 22:55:07
246,Reinosa,42.9996,-4.138,54.46,73,0,3.87,ES,clear sky,2022-10-04 22:55:08
247,Dangriga,16.9692,-88.2321,80.46,77,41,12.75,BZ,scattered clouds,2022-10-04 22:50:18
248,Bure,10.7,37.0667,54.09,94,48,3.65,ET,light rain,2022-10-04 22:55:09
249,Saint-Pierre,-21.3393,55.4781,65.88,77,20,0.0,RE,few clouds,2022-10-04 22:55:09
250,Minsk,53.9,27.5667,46.15,91,39,14.14,BY,scattered clouds,2022-10-04 22:54:10
251,Calvinia,-31.4707,19.776,51.39,45,1,1.72,ZA,clear sky,2022-10-04 22:55:10
252,Yarada,17.65,83.2667,80.49,84,100,5.1,IN,overcast clouds,2022-10-04 22:55:11
253,Coihaique,-45.5752,-72.0662,51.75,54,75,6.91,CL,broken clouds,2022-10-04 22:55:11
254,Mamallapuram,12.6264,80.1722,86.05,73,100,2.68,IN,overcast clouds,2022-10-04 22:55:12
255,Buraydah,26.326,43.975,81.05,19,0,10.18,SA,clear sky,2022-10-04 22:55:12
256,Songjianghe,42.1859,127.479,31.62,51,0,0.4,CN,clear sky,2022-10-04 22:55:13
257,Catuday,16.2923,119.8062,79.88,81,98,4.43,PH,overcast clouds,2022-10-04 22:55:13
258,Hunterville,-39.9333,175.5667,53.69,71,52,14.36,NZ,broken clouds,2022-10-04 22:55:13
259,Puerto Escondido,15.85,-97.0667,83.16,71,28,3.24,MX,scattered clouds,2022-10-04 22:55:14
260,Esperance,-33.8667,121.9,59.05,77,6,19.28,AU,clear sky,2022-10-04 22:55:14
